reactive-rla-99;0;0;NaN;NaN
reactive-rla-95;0;0;NaN;NaN
reactive-rla-85;0;0;NaN;NaN
reactive-rla-50;0;0;NaN;NaN
reactive-rla-15;0;0;NaN;NaN
reactive-random;0;0;NaN;NaN
reactive-rla-95;1;-980;-980.0;0.0
reactive-rla-85;1;-980;-980.0;0.0
reactive-rla-15;1;-1125;-1125.0;0.0
reactive-random;1;87009;87009.0;280.34493670886076
reactive-rla-95;2;51494;25747.0;57.38453713123093
reactive-rla-99;1;31137;31137.0;33.88404452690167
reactive-rla-50;1;24025;24025.0;25.4468085106383
reactive-random;2;139849;69924.5;132.36703096539162
reactive-rla-15;2;35218;17609.0;33.58603896103896
reactive-rla-85;2;20992;10496.0;20.005003573981416
reactive-rla-15;3;34238;11412.666666666666;28.976190476190474
reactive-random;3;235656;78552.0;187.11437403400308
reactive-rla-95;3;48539;16179.666666666666;35.83799237611181
reactive-rla-99;2;101868;50934.0;68.0371287128713
reactive-rla-95;4;144346;36086.5;86.55141242937853
reactive-rla-15;4;95877;23969.25;50.87416267942584
reactive-rla-15;5;95132;19026.4;47.48861098704779
reactive-rla-99;3;172599;57533.0;85.12952646239555
reactive-random;4;288643;72160.75;144.172131147541
reactive-rla-50;2;48050;24025.0;25.4468085106383
reactive-rla-95;5;205985;41197.0;89.69777960526316
reactive-rla-85;3;42964;14321.333333333334;21.511913912375096
reactive-rla-99;4;170654;42663.5;72.10735351946519
reactive-rla-95;6;205240;34206.666666666664;84.5195660596668
reactive-rla-99;5;169909;33981.8;68.11627043090638
reactive-rla-95;7;204495;29213.571428571428;79.9065934065934
reactive-rla-50;3;45130;15043.333333333334;20.38173142467621
reactive-rla-99;6;169164;28194.0;64.54382259767688
reactive-rla-15;6;151272;25212.0;55.83064516129032
reactive-rla-95;8;291504;36438.0;100.70059093893632
reactive-rla-85;4;95438;23859.5;33.161109471820595
reactive-random;5;312668;62533.6;101.23514927670053
reactive-rla-50;4;112488;28122.0;36.97498578737919
reactive-rla-15;7;218337;31191.0;66.26178451178451
reactive-rla-99;7;225304;32186.285714285714;67.96925656791504
reactive-rla-15;8;217592;27199.0;63.60274710476703
reactive-rla-85;5;92483;18496.6;28.236934673366836
reactive-rla-15;9;216847;24094.11111111111;61.148886587260485
reactive-rla-95;9;344344;38260.444444444445;94.95402298850574
reactive-rla-50;5;109568;21913.6;31.710872745002437
reactive-random;6;309713;51618.833333333336;85.65442708333333
reactive-rla-85;6;188290;31381.666666666668;50.08860153256705
reactive-rla-85;7;187310;26758.571428571428;47.84309240622141
reactive-rla-15;10;287578;28757.8;70.35863636363636
reactive-rla-50;6;176413;29402.166666666668;42.59066695077775
reactive-rla-95;10;397184;39718.4;91.15704989154013
reactive-rla-99;8;249329;31166.125;57.45718493583
reactive-random;7;362553;51793.28571428572;83.4407183037646
